teamId,teamName,gender,weapon,lowWinPct,mediumWinPct,highWinPct,lowStrength,mediumStrength,highStrength,lowScore,mediumScore,highScore,prc,spi
47,Wayne State University (Michigan),Women,Foil,0.875,0.375,0.125,31.125,40,66.6667,27.2344,15,8.3333,3,53.5677
47,Wayne State University (Michigan),Women,Sabre,0.6667,0.1667,0.1111,30.6667,38.6667,62.8571,20.4444,6.4444,6.9841,1,34.873
47,Wayne State University (Michigan),Women,Team,0.8333,0.6667,0,31.5,39.5556,64.2857,26.25,26.3704,0,2.5,55.1204
83,Denison University,Women,Epee,0.9,0.3889,0.1818,24.6,40.6667,58.8889,22.14,15.8148,10.7071,4,52.6619
83,Denison University,Women,Foil,0.9412,0.75,0.1,30.5294,40,67.5,28.7336,30,6.75,3.5,68.9836
83,Denison University,Women,Sabre,0.8889,0.5556,0.25,25.8333,39.5556,57,22.963,21.9753,14.25,2.5,61.6883
83,Denison University,Women,Team,0.9231,0.6667,0.0909,26.5385,39.4667,60,24.497,26.3111,5.4545,3.5,59.7627
34,The Ohio State University,Men,Epee,0.8,0.75,0.7308,31.2,42,63.75,24.96,31.5,46.5865,4.5,107.5465
34,The Ohio State University,Men,Foil,0.7778,0.7778,0.4615,30.75,38.6667,65.8333,23.9167,30.0741,30.3846,4,88.3754
34,The Ohio State University,Men,Sabre,0.8,0.75,0.2308,30.6,40.5,63.75,24.48,30.375,14.7115,4,73.5665
34,The Ohio State University,Men,Team,0.8,0.7778,0.4,31.2,42.6667,61.3043,24.96,33.1852,24.5217,4.5,87.1669
61,Lawrence University,Men,Epee,0.8333,0.6667,0.0769,31.5,41.3333,60.9091,26.25,27.5556,4.6853,4,62.4909
61,Lawrence University,Men,Foil,0.75,0.3333,0,30.75,37.3333,58.4615,23.0625,12.4444,0,2.5,38.0069
61,Lawrence University,Men,Sabre,0.875,0.5,0.1818,30.75,40.6667,60,26.9063,20.3333,10.9091,4,62.1487
61,Lawrence University,Men,Team,0.8333,0.2857,0.1667,31.5,41.1429,56,26.25,11.7551,9.3333,3.5,50.8384
46,Northwestern University,Women,Epee,0.9333,0.9333,0.3077,24.6,40.5333,67.2727,22.96,37.8311,20.6993,5,86.4904
46,Northwestern University,Women,Foil,0.9091,0.9091,0.5385,31,39.6364,72.7273,28.1818,36.0331,39.1608,5,108.3757
46,Northwestern University,Women,Sabre,0.9091,0.5,0.5,27.8182,39,65,25.2893,19.5,32.5,4.5,81.7893
46,Northwestern University,Women,Team,0.9231,0.9231,0.5714,26,38.7692,68.3333,24,35.787,39.0476,5,103.8346
33,Wayne State University (Michigan),Men,Epee,0.8,0.7143,0.1333,31.2,42.2857,60.7692,24.96,30.2041,8.1026,5,68.2666
33,Wayne State University (Michigan),Men,Foil,0.8571,0.8333,0,30.4286,37.3333,65,26.0816,31.1111,0,4,61.1927
33,Wayne State University (Michigan),Men,Sabre,0.75,0.3333,0.125,31.5,41.3333,58.5714,23.625,13.7778,7.3214,3,47.7242
33,Wayne State University (Michigan),Men,Team,0.8,0.5556,0,31.2,40.4444,61.8182,24.96,22.4691,0,4,51.4291
